Tweet,Target 1,Stance 1,seen?,GT Target
"The wealthy have excelled at positioning their homes so they have the best views of the ocean, the mountains, the lakes, and the forests. Isn't that enough? Why do they fell entitled to prevent anyone else from access to our natural landscape? The Romans were right, public beaches for all!",public space,FAVOR,1,invalid
"Taxes do NOT equal tuition, a point many, many commenters and writers miss. All taxpayers pay for public education, because an educated populace is a benefit for the entire society. Homeschooling parents believe they provide their children a better service than the government can. Great, many can. Those same homeschooling parents get indirect benefits from public education: reduced crime, a better economy, and a more cohesive community. They should support the public schools, just as childless people do.",education,FAVOR,1,invalid
The U.S. Needs to honor its long standing commitment to the defense of Taiwan. If as is put forth here there is concern over the growing ability and accuracy of China's ballistic missiles the solution needs to be the inclusion of Taiwan in the Aegis ashore missile defense program as well as upgrading Taiwan's Patriot air defense batteries to the latest PAC-3 missiles and associated radar systems. None of this is offensive in nature and only can threaten China to the extent that it reduces China's ability to threaten Taiwan. Not selling Taiwan the latest defense hardware because we are concerned that China will stop selling us cheap consumer products may be a foreign policy but it's not a very wise one.,missile defense,FAVOR,1,invalid
Electric cars have been a long time coming. Now that Solar pannels have become more more popular we will see the increase of electric cars productivity. It's really common sense: solar panels will absorb the energy into batteries which will forever provide electricity to run these cars. It's time!!! the sun power is always there even on cloudy days!!! I only wish I could convert my 2003 Nissan into an electric car. Could that be possible? Solar pannels will forever make us independent.,solar energy,FAVOR,1,invalid
"Easy access to relevant and accurate information is a cornerstone in our democracy. How can we not have specialists (aka librarians) who find, catalog, index, and protect the information used by all of us? We all frequently rely on specialists - medical, technical, financial, etc. - for the best information and advice. In this exploding universe of digital information, let's encourage our academic and governmental decision makers to fully realize the critical and specialized value that librarians provide to patrons of all ages.",information access,FAVOR,1,invalid
I see no reason why this has to be an either or situation. Doctors should be trained about the prescribing of opioids as it is apparent that they are either ignorant or negligent in their prescribing practices. Imagine a doctor having the ability to check to make sure a patient isn't getting more than one prescription for an opioid by going to a computer and looking it up but chooses not to....is that good medicine? Somebody needs training or maybe they just need their licenses pulled!,training,FAVOR,1,invalid
"Great article. Arrest should be devoted to people who need social resource. That may mean help, control, or both. It changes people for the better and build trust. People are happier when they know their enforcement of the law is building bridges in communities that may need help. Everyone deserves objective feedback, no one deserves to be abused. Broken windows should be a policy of fixing little things and not draconian punishment for little failures. Cleaning up graffiti, getting kids off the street, and reducing sensational adult advertisement in family communities; those are broken windows. Change can be accomplished mostly by better alternatives and more second chances (learning to do better).",broken windows,FAVOR,1,invalid
"When I was in high school I had to study Latin for two years and I had to study a modern language. I chose German. Later in college I continued my studies in German and took up Russian. As an older adult I took courses in Modern Irish and Old Irish. Now, as a septuagenarian, I am studying Brazilian Portuguese. Why? because learning another language gives you the ability to understand how other people on the planet think. Yes, Cassandra, you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world.",linguistic studies,FAVOR,1,invalid
"I'm in my Junior year in High School, and I take the hardest courses my school offers. I average 8 hours of homework every night with 6-7 hours of school in a day. I also work about 3 hours a day. I do not sleep. I spend most of my weekend sleeping, until Sunday where I do 12 hours of homework. I love school and I love learning, and I'd argue the school day needs to be extended. The teachers do not have enough time to teach us all we need to know, especially in AP courses. Thus, we have an incredible amount of homework, depriving us of sleep, and leading to the negative consequences Ms. Carskadon warns. So, as long as teachers have more time to teach while at the same time giving less homework, I'm all for extending the school day.",workload,FAVOR,1,invalid
What's next? Childless families get the tax break? Those whose children go to private schools get a tax break? Do we get the tax break when our children finish schoo? We ALL have a vested interest in a well educated population. We all have an obligation to contribute to the public school system.,public service,FAVOR,1,invalid
"Easy access to relevant and accurate information is a cornerstone in our democracy. How can we not have specialists (aka librarians) who find, catalog, index, and protect the information used by all of us? We all frequently rely on specialists - medical, technical, financial, etc. - for the best information and advice. In this exploding universe of digital information, let's encourage our academic and governmental decision makers to fully realize the critical and specialized value that librarians provide to patrons of all ages.",information,FAVOR,1,invalid
It makes sense for healthcare and education to have special status. My family benefits directly and indirectly from these services. I receive no benefits whatever from sports. I never watch sports events on television and never attend a sporting event unless someone gives me free tickets.,special status,FAVOR,1,invalid
"I agree with some of the comments about not pushing kids too young to read and write. However, kids benefit from a preschool environment even if it is all play based. New Zealand has a free preschool program, but the kids don't start learning to read until they enter elementary school and NZ has one of the highest literacy rates in the world. It also benefits those who are in the lower middle class and don't qualify for free programs. This is where we really need to start making a push. So that their kids don't end up in the lower class.",read and write,FAVOR,1,invalid
Electric cars have been a long time coming. Now that Solar pannels have become more more popular we will see the increase of electric cars productivity. It's really common sense: solar panels will absorb the energy into batteries which will forever provide electricity to run these cars. It's time!!! the sun power is always there even on cloudy days!!! I only wish I could convert my 2003 Nissan into an electric car. Could that be possible? Solar pannels will forever make us independent.,solar pannels,FAVOR,1,invalid
"I'm in my Junior year in High School, and I take the hardest courses my school offers. I average 8 hours of homework every night with 6-7 hours of school in a day. I also work about 3 hours a day. I do not sleep. I spend most of my weekend sleeping, until Sunday where I do 12 hours of homework. I love school and I love learning, and I'd argue the school day needs to be extended. The teachers do not have enough time to teach us all we need to know, especially in AP courses. Thus, we have an incredible amount of homework, depriving us of sleep, and leading to the negative consequences Ms. Carskadon warns. So, as long as teachers have more time to teach while at the same time giving less homework, I'm all for extending the school day.",work ethic,FAVOR,1,invalid
